,Orig_index,Summary Stat,Percent stdev,Standard deviation,Mean,Exp 01,Exp 02,Exp 03,Exp 04,Exp 05,Exp 06,Exp 07,Exp 08,Exp 09,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21
k for Block 13,41,k for Block 11,0.241990826,0.020500324,0.084715294,0.087604415,0.092908718,0.098391354,0.092999776,0.088553109,0.09592207,0.034972957,0.097679153,0.098208673,0.09515541,0.035975892,0.075846141,0.089676843,0.03724216,0.101022951,0.092359495,0.090753893,0.095296838,0.089371923,0.09399334,0.095086068
final V for Block 13,42,final V for Block 11,0.001640225,0.005805743,3.539602313,3.545477199,3.538723338,3.536412307,3.538856651,3.539492853,3.53837263,3.546887459,3.529375109,3.530895735,3.535749072,3.54331955,3.551279803,3.544782861,3.534760082,3.532177107,3.536915551,3.540195289,3.544045558,3.546337337,3.532377697,3.545215376
Resistance for Block 14,43,Resistance for Block 12,0.063029136,0.000188138,0.002984937,0.002838955,0.003039198,0.00295884,0.002939659,0.003039818,0.002919591,0.002818703,0.003338544,0.003357462,0.003019885,0.00302,0.002639398,0.002839807,0.003219961,0.003100045,0.002998956,0.002998944,0.002818831,0.002738811,0.003259237,0.002779027
dV/dt for Block 14,44,dV/dt for Block 12,0.072073302,0.000121378,0.001684091,0.001635,0.00173,0.001685,0.001675,0.001725,0.00167,0.00161,0.001905,0.00191,0.00172,0.001725,0.00151,0.00163,0.00184,0.001559091,0.00171,0.001705,0.001431818,0.001555,0.001855,0.00158
dV/dQ for Block 14,45,dV/dQ for Block 12,0.076350972,2.32E-05,0.000304355,0.000292118,0.000313244,0.000303213,0.000303294,0.000314423,0.000299954,0.000290976,0.000345402,0.000344217,0.000311094,0.000314447,0.000271052,0.000293313,0.000333337,0.000279001,0.000311,0.000309897,0.000252896,0.000283208,0.000338812,0.000286559
V0 for Block 15,46,V0 for Block 13,0.000553067,0.002002026,3.619863139,3.622308419,3.619435832,3.619591603,3.620178907,3.61919333,3.619869416,3.62141577,3.616124722,3.617006945,3.619807251,3.620037788,3.623233269,3.621672691,3.617458562,3.616398694,3.620286102,3.620022151,3.621505288,3.622793934,3.617336113,3.621449132
k for Block 15,47,k for Block 13,0.224055403,0.293168946,1.30846631,1.401873631,1.418752585,1.432672944,1.416621795,1.363441263,1.403953102,1.44144948,1.070100498,1.416561324,1.428154506,1.344427034,1.379278084,1.403566339,1.389119566,0.070762511,1.406377931,1.353014961,1.100265219,1.42110114,1.36943819,1.446860415
final_V for Block 15,48,final V for Block 13,0.001502196,0.005387684,3.58653747,3.58657426,3.583089913,3.584393367,3.584509589,3.585182913,3.584258754,3.585310039,3.588421736,3.581960257,3.583629201,3.585581257,3.587895306,3.586366398,3.583242528,3.608291981,3.584559342,3.58624495,3.593062355,3.586304733,3.582966987,3.585440996
Peak Time Difference for Block 16,49,Resistance for Block 14,0.014229333,3.98E-05,0.002794256,0.002800739,0.002820779,0.00280084,0.002800795,0.002760707,0.002800885,0.002801457,0.002801524,0.00280213,0.002860702,0.002760177,0.002700616,0.002780879,0.002780634,0.002820812,0.00286087,0.0027408,0.002740932,0.0028411,0.002840955,0.002761049
Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 16,50,dV/dt for Block 14,0.032981883,5.14E-05,-0.001559632,-0.00158,-0.001595,-0.00159,-0.00157,-0.00156,-0.00159,-0.001585,-0.001575,-0.001575,-0.001413636,-0.00156,-0.00152,-0.00157,-0.001565,-0.001595,-0.001615,-0.00155,-0.00156,-0.001413636,-0.001605,-0.001565
Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 16,51,dV/dQ for Block 14,0.036489061,1.07E-05,-0.000291882,-0.00029563,-0.000301191,-0.000295646,-0.000297858,-0.000291182,-0.000295648,-0.000296819,-0.000296829,-0.000296896,-0.000261055,-0.000293345,-0.000286711,-0.000293433,-0.000294507,-0.000296756,-0.000301202,-0.000288975,-0.000291207,-0.000261099,-0.000301213,-0.00029233
Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 16,52,V0 for Block 15,0.003712791,0.013022232,3.507396604,3.507248698,3.499217854,3.496194036,3.49911024,3.53365385,3.498006379,3.505967696,3.491160381,3.492015574,3.503312568,3.504299501,3.512772792,3.506507856,3.495089788,3.525287258,3.497006964,3.503535418,3.53813569,3.51530487,3.526306646,3.505194615
Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 16,53,k for Block 15,0.460679902,0.544429592,1.18179584,1.468365399,1.466869814,1.539290495,1.491374783,0.073120127,1.500739715,1.519336003,1.420729977,1.458465708,1.198235716,1.405750797,1.494903438,1.487611495,1.431957223,0.075888157,1.496996592,1.397464709,0.073146815,1.203964589,0.07373847,1.539762614
Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 16,54,final_V for Block 15,0.001708816,0.006051692,3.541452697,3.54846812,3.540430025,3.537176858,3.540941973,3.542904581,3.539427774,3.547696472,3.530869408,3.532277604,3.537532691,3.54324587,3.553171018,3.547574356,3.534417854,3.534561809,3.538728478,3.541837881,3.547138788,3.549527622,3.535659035,3.546918421
Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 16,55,Peak Time Difference for Block 16,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
Total power for Block 16,56,Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 16,0.031759529,0.000384254,0.012098857,0.012051972,0.012109454,0.01199255,0.012202796,0.011410209,0.012386068,0.012661135,0.011984727,0.01181269,0.012512958,0.011889656,0.01226595,0.012145795,0.011573466,0.012677613,0.012385489,0.011296351,0.011889993,0.012708882,0.0118278,0.012290437
Final V for Block 17,57,Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 16,0.0459743,0.85613315,-18.62199414,-18.064608,-19.568832,-18.746929,-18.004532,-18.946461,-19.671486,-17.985619,-20.812641,-18.747345,-19.322899,-18.471317,-18.020557,-19.43169,-18.762966,-17.579063,-17.514814,-19.151545,-18.624693,-18.493498,-18.272903,-16.867479
